"date","hour","interval_start","count"
"2023-07-18",18,0.0,101964
"2023-07-18",18,10.0,104274
"2023-07-18",18,20.0,109453
"2023-07-18",18,30.0,112560
"2023-07-18",18,40.0,124072
"2023-07-18",18,50.0,129492
"2023-07-18",19,0.0,79907
"2023-07-18",19,10.0,72397
"2023-07-18",19,20.0,73328
"2023-07-18",19,30.0,72701
"2023-07-18",19,40.0,78384
"2023-07-18",19,50.0,104863
"2023-07-18",20,0.0,67919
"2023-07-18",20,10.0,52305
"2023-07-18",20,20.0,50609
"2023-07-18",20,30.0,49681
"2023-07-18",20,40.0,49771
"2023-07-18",20,50.0,55725
"2023-07-18",21,0.0,49259
"2023-07-18",21,10.0,40513
"2023-07-18",21,20.0,42571
"2023-07-18",21,30.0,39784
"2023-07-18",21,40.0,48686
"2023-07-18",21,50.0,46119
"2023-07-18",22,0.0,30188
"2023-07-18",22,10.0,28864
"2023-07-18",22,20.0,30614
"2023-07-18",22,30.0,25761
"2023-07-18",22,40.0,13659
"2023-07-18",22,50.0,318
"2023-07-18",23,0.0,24851
"2023-07-18",23,10.0,11005
"2023-07-18",23,20.0,11106
"2023-07-18",23,30.0,7699
"2023-07-18",23,40.0,6987
"2023-07-18",23,50.0,6539
"2023-07-19",0,0.0,31332
"2023-07-19",0,10.0,29115
"2023-07-19",0,20.0,27837
"2023-07-19",0,30.0,29624
"2023-07-19",0,40.0,18757
"2023-07-19",0,50.0,14350
"2023-07-19",1,0.0,25198
"2023-07-19",1,10.0,19214
"2023-07-19",1,20.0,13948
"2023-07-19",1,30.0,10818
"2023-07-19",1,40.0,10272
"2023-07-19",1,50.0,9368
"2023-07-19",2,0.0,20600
"2023-07-19",2,10.0,11928
"2023-07-19",2,20.0,8377
"2023-07-19",2,30.0,8070
"2023-07-19",2,40.0,8040
"2023-07-19",2,50.0,7473
"2023-07-19",3,0.0,16856
"2023-07-19",3,10.0,8221
"2023-07-19",3,20.0,6950
"2023-07-19",3,30.0,6651
"2023-07-19",3,40.0,6522
"2023-07-19",3,50.0,6458
"2023-07-19",4,0.0,15290
"2023-07-19",4,10.0,7373
"2023-07-19",4,20.0,6061
"2023-07-19",4,30.0,6011
"2023-07-19",4,40.0,6268
"2023-07-19",4,50.0,6135
"2023-07-19",5,0.0,15870
"2023-07-19",5,10.0,7189
"2023-07-19",5,20.0,6318
"2023-07-19",5,30.0,7069
"2023-07-19",5,40.0,6888
"2023-07-19",5,50.0,7084
"2023-07-19",6,0.0,20464
"2023-07-19",6,10.0,14784
"2023-07-19",6,20.0,8863
"2023-07-19",6,30.0,9196
"2023-07-19",6,40.0,9515
"2023-07-19",6,50.0,10445
"2023-07-19",7,0.0,27019
"2023-07-19",7,10.0,23596
"2023-07-19",7,20.0,22097
"2023-07-19",7,30.0,15931
"2023-07-19",7,40.0,17983
"2023-07-19",7,50.0,16645
"2023-07-19",8,0.0,35018
"2023-07-19",8,10.0,28993
"2023-07-19",8,20.0,27798
"2023-07-19",8,30.0,28880
"2023-07-19",8,40.0,23625
"2023-07-19",8,50.0,23791
"2023-07-19",9,0.0,42487
"2023-07-19",9,10.0,37486
"2023-07-19",9,20.0,35368
"2023-07-19",9,30.0,33878
"2023-07-19",9,40.0,34402
"2023-07-19",9,50.0,29605
"2023-07-19",10,0.0,49130
"2023-07-19",10,10.0,45242
"2023-07-19",10,20.0,43814
"2023-07-19",10,30.0,43762
"2023-07-19",10,40.0,58959
"2023-07-19",10,50.0,43092
"2023-07-19",11,0.0,58550
"2023-07-19",11,10.0,50562
"2023-07-19",11,20.0,50385
"2023-07-19",11,30.0,50068
"2023-07-19",11,40.0,47084
"2023-07-19",11,50.0,64796
"2023-07-19",12,0.0,68733
"2023-07-19",12,10.0,61998
"2023-07-19",12,20.0,62283
"2023-07-19",12,30.0,61672
"2023-07-19",12,40.0,58822
"2023-07-19",12,50.0,79902
"2023-07-19",13,0.0,67447
"2023-07-19",13,10.0,50995
"2023-07-19",13,20.0,43940
"2023-07-19",13,30.0,43316
"2023-07-19",13,40.0,57367
"2023-07-19",13,50.0,81441
"2023-07-19",14,0.0,47577
"2023-07-19",14,10.0,40255
"2023-07-19",14,20.0,42473
"2023-07-19",14,30.0,43705
"2023-07-19",14,40.0,48613
"2023-07-19",14,50.0,86851
"2023-07-19",15,0.0,59513
"2023-07-19",15,10.0,53612
"2023-07-19",15,20.0,56522
"2023-07-19",15,30.0,56661
"2023-07-19",15,40.0,55394
"2023-07-19",15,50.0,65057
"2023-07-19",16,0.0,65137
"2023-07-19",16,10.0,58524
"2023-07-19",16,20.0,71931
"2023-07-19",16,30.0,72653
"2023-07-19",16,40.0,112289
"2023-07-19",16,50.0,88263
"2023-07-19",17,0.0,68671
"2023-07-19",17,10.0,62743
"2023-07-19",17,20.0,73259
"2023-07-19",17,30.0,76730
"2023-07-19",17,40.0,94550
"2023-07-19",17,50.0,80411
"2023-07-19",18,0.0,120884
"2023-07-19",18,10.0,114206
"2023-07-19",18,20.0,110516
"2023-07-19",18,30.0,104359
"2023-07-19",18,40.0,92621
"2023-07-19",18,50.0,85494
"2023-07-19",19,0.0,92729
"2023-07-19",19,10.0,86936
"2023-07-19",19,20.0,85707
"2023-07-19",19,30.0,78822
"2023-07-19",19,40.0,92792
"2023-07-19",19,50.0,104375
"2023-07-19",20,0.0,77028
"2023-07-19",20,10.0,61909
"2023-07-19",20,20.0,60143
"2023-07-19",20,30.0,58434
"2023-07-19",20,40.0,57501
"2023-07-19",20,50.0,59679
"2023-07-19",21,0.0,55691
"2023-07-19",21,10.0,50108
"2023-07-19",21,20.0,48335
"2023-07-19",21,30.0,46681
"2023-07-19",21,40.0,44713
"2023-07-19",21,50.0,41729
"2023-07-19",22,0.0,32222
"2023-07-19",22,10.0,27290
"2023-07-19",22,20.0,25899
"2023-07-19",22,30.0,27797
"2023-07-19",22,40.0,26812
"2023-07-19",22,50.0,27199
"2023-07-19",23,0.0,23625
"2023-07-19",23,10.0,11208
"2023-07-19",23,20.0,11451
"2023-07-19",23,30.0,10502
"2023-07-19",23,40.0,9042
"2023-07-19",23,50.0,8192
