hour,oaid,os,item_names,brand,sw,sh,,
0,3E167B3CC0964C1BBA8D09A0661691E5a51fec9aa7b4f482ca54acbac8e738b0,Android_12,"科幻,爱情",OPPO,1080,2242,,
0,E88E132B14B3454585DCA9AE5E5CD6BF08207a55cd510219f017f7f4365a4e73,Android_12,其他,OPPO,1080,2161,,
0,,Android_10,其他,HUAWEI,1080,2139,,
4,,,"芒果出品,都市,爱情",Xiaodu,,,,
5,,,音乐,apple,2048,1536,,
6,,,"爱情,都市",apple,2048,1536,,
6,,9,"纪实,生活,真人秀",Xiaodu,,,,
6,,Android_10,"芒果出品,青春,网剧,爱情,都市",NZONE,2175,1080,,
6,,Android_9,"爱情,都市,家庭",HUAWEI,1600,2560,,
7,f4df2fe064444a9e,Android_13,"都市,爱情,剧情",Redmi,2186,1080,,
7,,,"战争,剧情",Konka,,,,
7,862795f1bacc70f4dac50ba624302b265ef35f7cea71c0427d4137d7fecbdee0,Android_11,"青春,校园",vivo,1080,2267,,
8,,,其他,ChangHong,,,,
8,,,"都市,爱情,芒果出品",MStar,,,,
8,,10,"都市,爱情,芒果出品",HUAWEI,,,,
9,,,"真人秀,芒果出品",apple,1125,2436,,
9,,,"剧情,喜剧,爱情,家庭",MStar,,,,
9,,,"亲子,明星,真人秀,教育,芒果出品",alps,,,,
0,5D28C302FA3A43F198D16D94D279888E1fa115d10c55e8dafabbf54d06cd2333,Android_13,"芒果出品,校园,网剧,青春,偶像,爱情",OPPO,2293,1080,,
2,,,其他,alps,,,,
3,,,"剧情,悬疑,谍战,年代",apple,2048,1536,,
5,27ACE7B13C774E0D93551E2236FF909204c33b02ad7c91efb0d3bc7bee12e4c3,Android_12,"爱情,都市,家庭",realme,2290,1039,,
7,,,"言情,穿越,古装,芒果出品",Xiaodu,,,,
7,,,"古装,爱情,芒果出品",Xiaomi,,,,
8,,Android_10,其他,HUAWEI,1080,2172,,
8,,,"青春,校园",SHARP,,,,
9,,Android_10,其他,HUAWEI,1600,2006,,
0,,,"剧情,爱情,古装",HONOR,2160,1080,,
1,,,"剧情,爱情,都市,芒果出品",apple,2532,1170,,
5,,,"爱情,都市,家庭",Letv,,,,
7,,,"古装,爱情",TCL,,,,
8,f73e056e73dcef47,Android_12,"剧情,喜剧,爱情,家庭",Xiaomi,2560,1494,,
8,,,"纪实,生活,真人秀",SHARP,,,,
9,A84A0BAEF50F4A6CB06111C932213B9F4d57b71d6eccee520f8448e855773d94,Android_12,"悬疑,犯罪,芒果出品",realme,1080,2293,,
9,f87d71c75b2e8613,Android_13,其他,Xiaomi,2313,1036,,
0,,Android_10,"都市,爱情,剧情",HUAWEI,1200,1920,,
0,,,其他,apple,1170,2532,,
0,eb80de481363617e654330e534690fad8dd97ee4e731f89087d7af5c00c8440b,Android_9,"益智,真人秀,搞笑,芒果出品",vivo,2256,1080,,
0,4BE5267F7584413A8E3B4948B1959FC2a0de60d5cd21c123147d8279b792ef51,Android_12,剧情,OPPO,1080,1800,,
2,,,"剧情,爱情,芒果出品",apple,828,1792,,
5,,,"古装,爱情,奇幻,喜剧,芒果出品,言情,青春,玄幻,网剧,偶像",Xiaomi,,,,
6,,9,其他,XiaoAiTongXue,,,,
6,,Android_10,"青春,校园",HUAWEI,1080,2202,,
7,,,"都市,爱情,芒果出品",Xiaodu,,,,
8,AFE761BBA4C84D4A866DE84C8F0CA68Ea45daca971287cc00f1488fc578a0e29,Android_12,"青春,校园",OPPO,720,1448,,
8,b67c36307d32fbb4,android_11,"纪实,生活,真人秀",Xiaomi,1440,3063,,
8,3F31CCED292549C69078015F9A8D089B7b86f1cf805b8f38f8cf0d13edcd7395,Android_10,"芒果出品,真人秀,明星,搞笑",OPPO,1456,720,,
8,,,"都市,职场",apple,2160,1620,,
8,,,"青春,校园",apple,750,1334,,
9,7202D76F70454DEEB919FA06EFEE06B03560a57f20f1a60cd9e36f04cc2665ed,Android_11,"悬疑,芒果出品",OPPO,1080,2150,,
9,,9,"明星,真人秀,竞演",PHILIPS,,,,
9,,,"爱情,剧情,喜剧,都市,家庭",apple,1170,2532,,
0,,,"家庭,喜剧,青春",apple,1170,2532,,
0,,,"剧情,家庭",MBX,,,,
