hour,oaid,os,item_names,brand,sw,sh,req_id,key
11,,Android_10,"芒果出品,青春,偶像,爱情,古装,网剧",HUAWEI,2259,1080,ZKjSNaJ1tQ7crgd9,a75fbfd0-b7bb-2101-f9ff-febf277fc369
16,,,其他,apple,2266,1488,ZKkchzqsAgllMSg4,7ad250bdea5ab127d2dcef840d36cf0dbf4c724d
11,341F17393A2D4C0C8809F195ABC24FA9b800a6655ace552c3a5bd4ea4bc4a4d3,Android_11,"剧情,悬疑,犯罪",OPPO,720,1536,ZKjUQzNAXglq0rp7,341F17393A2D4C0C8809F195ABC24FA9b800a6655ace552c3a5bd4ea4bc4a4d3
13,,,"明星,真人秀,芒果出品",apple,1179,2556,ZKj7LddNnglBJIV6,587432e8b772a67f8420046bba373e5e17f6cbf0
11,,Android_10,"都市,家庭,芒果出品",HUAWEI,1200,2000,ZKjYQjDlHwlbKnp0,f13dce90-87a9-41cd-a381-5e588dfe1338
12,09c24fcee12c2d83e4a99071addc6479dce653753e3214cdf515854fd4bd8c7e,Android_9,"青春,偶像,爱情",vivo,1080,2141,ZKjj_uMP4QkC-ce2,09c24fcee12c2d83e4a99071addc6479dce653753e3214cdf515854fd4bd8c7e
16,,,"芒果出品,真人秀,明星,搞笑",apple,828,1792,ZKkjVgx3jGQUxB90,2AAF1FBB-80B9-4A30-A69D-DE7BF01F507E
14,,,"剧情,喜剧,爱情,家庭",vivo,1080,1920,ZKj7huNnYwlnWc57,3b50d5bb66f2fbcd8d8f818cf38103c2
13,,Android_9,"爱情,都市,家庭",HONOR,1200,1836,ZKj6i-MP4QkCEkR4,bd4bd743-ff7f-9a5e-ee1f-faef4edf047a
12,,,"真人秀,音乐",HUAWEI,1080,2277,ZKjfahJ-KAkq01U0,f53effff-eff7-1ca1-feff-de3dce7435ba
12,,,"剧情,爱情,芒果出品",apple,1334,750,ZKjlsddNnglBDVV8,59b5f57c58758ffa096bce251a9f0bdaf7bb9379
14,,,其他,apple,750,1334,ZKj7by_xbm9hG1s4,398a754c785a0317ae4f186716fecc015d53161c
9,AA7984FDC6424B84970B07294F39AC8C896f28bccc5ba31ac7bc03e3c80cbeef,Android_11,"悬疑,芒果出品",OPPO,1080,806,ZKi_a_CkHQlZwba6,AA7984FDC6424B84970B07294F39AC8C896f28bccc5ba31ac7bc03e3c80cbeef
13,10e5c16088480cf0d36c038f3ecc4f097c5838256d7427a52e3d5efbd36c7479,Android_9,"家庭,爱情",vivo,2169,1080,ZKjtZIs1jAlsTxW4,10e5c16088480cf0d36c038f3ecc4f097c5838256d7427a52e3d5efbd36c7479
12,,,"古装,爱情,悬疑,芒果出品",apple,1170,2532,ZKjhTeNnYwlnPQU2,c424d764d07109b1c600befb4b58b40a00761ce6
12,,,其他,apple,1170,2532,ZKjgNxIkWQlpab15,16baf88e1cb9bfbec6e93670a992280816ec4dd2
12,,,"都市,爱情",apple,2532,1170,ZKjnvOfIIAk9ylK9,25fac521e03b8c207f35b04dba86d1187eccf192
16,05DB0C109F9349489DE437832350AD50fb21b1cfaed6315bde8bf0923ce0bf18,,"都市,爱情,悬疑,芒果出品",OPPO,720,1424,ZKkbDONnYwlnflC8,05DB0C109F9349489DE437832350AD50fb21b1cfaed6315bde8bf0923ce0bf18
11,CB858A6886BC4239945CD7DE21807B4B88b231c2fb96d8089d4e9b480687f2f5,Android_11,"剧情,悬疑,谍战,年代",OPPO,1080,2208,ZKjRPG-z1AkxtkV4,CB858A6886BC4239945CD7DE21807B4B88b231c2fb96d8089d4e9b480687f2f5
13,fa3e0bd3c47f0ce5,Android_11,"剧情,爱情,都市,芒果出品",Redmi,2304,1036,ZKj2A-5RcS8KFJw4,fa3e0bd3c47f0ce5
12,10d1f60af7c53c5d,Android_11,"纪实,生活,真人秀",Redmi,1080,2276,ZKjlo7xPiW6OqYN6,10d1f60af7c53c5d
13,d10d6d5dcaa5d3890331b5942296e7caf4ae71a6a387cdf49cc1063df6fb5801,Android_12,"古装,爱情,悬疑,芒果出品",samsung,1080,2105,ZKjuC3fy5QlJFi06,d10d6d5dcaa5d3890331b5942296e7caf4ae71a6a387cdf49cc1063df6fb5801
15,975A597F03D24B378947047CECA667016d42e1a6fb14fe7bbcbd156ef799fa9e,Android_13,"都市,爱情,芒果出品",OPPO,1080,2161,ZKkLdHfy5QlJN8x3,975A597F03D24B378947047CECA667016d42e1a6fb14fe7bbcbd156ef799fa9e
11,cb40c802e2c065d38514928564f5d8c95120de5faaa3fab9ea3ea1bee670a820,Android_10,"爱情,都市,家庭",vivo,720,1554,ZKjY-DNAXglq19Q5,cb40c802e2c065d38514928564f5d8c95120de5faaa3fab9ea3ea1bee670a820
14,C7AEA7D3F043437BBFE4883D2A5453F2d9dbd244a1ed273ef1c012188462d394,Android_12,"剧情,喜剧,爱情,家庭",OPPO,720,1460,ZKj8HeNnYwlnWlB2,C7AEA7D3F043437BBFE4883D2A5453F2d9dbd244a1ed273ef1c012188462d394
11,,Android_10,"战争,剧情",HUAWEI,1080,2208,ZKjXOKJ1tQ7cs6j5,7a1abf7c-7aef-423d-ffd3-f6fe1fbff443
12,,Android_12,"都市,爱情,剧情",HUAWEI,2280,1080,ZKjm_1egmQlHVur0,NDg1ODAxMkQwN0YzNzdGMjU4RDFBMDI4NDRCQUY3NzQ=
12,8ADAF065377E4E0782A69A15F27D30AA5b42b1301e5be7c2f368f99079ea89f5,Android_12,"真人秀,美食,明星",OPPO,1080,2237,ZKjtIaJ1tQ7cyt79,8ADAF065377E4E0782A69A15F27D30AA5b42b1301e5be7c2f368f99079ea89f5
10,,,其他,apple,1170,2532,ZKjFSTSmkAk0CgT0,da3305922f0eb890c78658592b30e4274dd2055d
13,5F319CD48A354439B7135AA9082F631A6e1060841fa59f9899ee44761205d96e,Android_12,"古装,武侠,剧情,芒果出品",OPPO,1080,2245,ZKj6XPCkHQlZ_cd2,5F319CD48A354439B7135AA9082F631A6e1060841fa59f9899ee44761205d96e
15,,Android_10,"明星,真人秀,竞演",HUAWEI,2148,1080,ZKkJiSBTwAl5nMH1,9ffbb6dd-7fcf-f679-57bf-6f3fedf73382
12,d65996dcf57d096188fccc894f2d8d9a010558d50a8bfb9251fa65b1563cd51b,Android_13,"都市,爱情,芒果出品",vivo,1080,1479,ZKjk6G-z1Akxy6C7,d65996dcf57d096188fccc894f2d8d9a010558d50a8bfb9251fa65b1563cd51b
15,C71DAC77975C4353BBC0394EEF775B9Af93155d70ff45bdc9ac2ab619104912b,Android_12,其他,realme,1080,2232,ZKkQuTDlHwlbaXX5,C71DAC77975C4353BBC0394EEF775B9Af93155d70ff45bdc9ac2ab619104912b
